PERM Test Case ID,ATP Test Case ID,YAML File Name,Test Name,Flow Type,Excel Step Count,ATP Steps,ATP Expected
PERM_030,PM_01,PM_01 - Camera Permission Allow.yaml,PM_01 - Camera Permission Allow,Permission,3,1. Camera permission popup appears → 2. Tap Allow → 3. Open camera from gallery,Camera permission granted and camera opens successfully
PERM_003,PM_02,PM_02 - Camera Permission Deny.yaml,PM_02 - Camera Permission Deny,Permission,2,1. Camera permission popup appears → 2. Tap Don't Allow,Flow continues to next permission; Permission Required NOT shown on first deny
PERM_004,PM_03,PM_03 - Camera Permission Don't Ask Again.yaml,PM_03 - Camera Permission Don't Ask Again,Permission,3,1. Camera popup → 2. Don't ask again + Don't allow → 3. Access camera,Permission Required → OK → Android Settings when camera accessed
PERM_005,PM_04,PM_04 - Camera Permission Settings Recovery.yaml,PM_04 - Camera Permission Settings Recovery,Permission,4,1. Deny camera → 2. Settings → 3. Grant camera → 4. Return,Camera functionality restored
PERM_031,PM_05,PM_05 - Location Permission Precise Location.yaml,PM_05 - Location Permission Precise Location,Permission,2,1. Allow Camera → 2. Location popup → 3. Precise + While using,Precise location granted; Nearby Devices dialog next
PERM_032,PM_06,PM_06 - Location Permission Approximate Location.yaml,PM_06 - Location Permission Approximate Location,Permission,2,1. Allow Camera → 2. Location popup → 3. Approximate,Approximate location granted; flow continues
PERM_006,PM_07,PM_07 - Location Permission Deny.yaml,PM_07 - Location Permission Deny,Permission,2,1. Allow Camera → 2. Location popup → 3. Don't allow,Flow continues to Nearby Devices on first deny
PERM_007,PM_08,PM_08 - Location Permission Don't Ask Again.yaml,PM_08 - Location Permission Don't Ask Again,Permission,2,1. Location popup → 2. Don't ask again + deny,Permission Required → Settings when location needed
PERM_033,PM_09,PM_09 - Nearby Devices Permission Allow.yaml,PM_09 - Nearby Devices Permission Allow,Permission,2,1. Allow Camera + Location → 2. Nearby popup → 3. Allow,Nearby granted; next permission dialog appears
PERM_009,PM_10,PM_10 - Nearby Devices Permission Deny.yaml,PM_10 - Nearby Devices Permission Deny,Permission,2,1. Nearby popup → 2. Don't allow,Flow continues on first deny
PERM_011,PM_11,PM_11 - Nearby Devices Permission Enable Later.yaml,PM_11 - Nearby Devices Permission Enable Later,Permission,3,1. Deny Nearby → 2. Settings → enable → 3. Return,Nearby permission restored
PERM_034,PM_12,PM_12 - Notification Permission Allow.yaml,PM_12 - Notification Permission Allow,Permission,3,1. Allow upstream → 2. Notification popup → 3. Allow,Notification granted; Photos dialog next; MY GALLERY reached
PERM_012,PM_13,PM_13 - Notification Permission Deny.yaml,PM_13 - Notification Permission Deny,Permission,3,1. Notification popup → 2. Don't allow,Flow continues to Photos on first deny
PERM_044,PM_14,PM_14 - Notification Permission Dismiss.yaml,PM_14 - Notification Permission Dismiss,Permission,3,1. Notification popup → 2. Dismiss if applicable,Application handles dismissal; flow continues
PERM_014,PM_15,PM_15 - Notification Permission Settings Recovery.yaml,PM_15 - Notification Permission Settings Recovery,Permission,4,1. Deny notification → 2. Settings → enable → 3. Return,Notification permission restored; gallery reached
PERM_002,PM_16,PM_16 - Photos and Videos Permission Allow All.yaml,PM_16 - Photos and Videos Permission Allow All,Permission,2,1. Photos popup → 2. Allow all,Full gallery accessible; MY GALLERY displayed
PERM_002,PM_17,PM_17 - Photos and Videos Permission Limited Access.yaml,PM_17 - Photos and Videos Permission Limited Access,Permission,3,1. Photos popup → 2. Allow limited access → 3. Select photos,Only selected photos visible in gallery
PERM_015,PM_18,PM_18 - Photos and Videos Permission Deny.yaml,PM_18 - Photos and Videos Permission Deny,Permission,2,1. Photos popup → 2. Don't allow (first time),Gallery not accessible; retry or blocked state shown
PERM_016,PM_19,PM_19 - Photos and Videos Permission Don't Ask Again.yaml,PM_19 - Photos and Videos Permission Don't Ask Again,Permission,2,1. Photos popup → 2. Don't ask again + deny,Permission Required → Settings; gallery blocked
PERM_001,PM_20,PM_20 - Permission Flow Allow All Permissions.yaml,PM_20 - Permission Flow Allow All Permissions,Permission,2,1. Complete onboarding → 2. Allow all permissions in order,User reaches MY GALLERY successfully
PERM_039,PM_21,PM_21 - Rotate Device During Permission Popup.yaml,PM_21 - Rotate Device During Permission Popup,Permission,2,1. Camera popup → 2. Rotate → 3. Allow,Permission popup remains functional
PERM_025,PM_22,PM_22 - App Background During Permission Popup.yaml,PM_22 - App Background During Permission Popup,Permission,3,1. Camera popup → 2. Background → 3. Resume → 4. Allow,Permission flow resumes correctly
PERM_042,PM_23,PM_23 - Lock Device During Permission Popup.yaml,PM_23 - Lock Device During Permission Popup,Permission,3,1. Camera popup → 2. Lock → 3. Unlock → 4. Allow,Permission popup state retained
PERM_043,PM_24,PM_24 - Incoming Call During Permission Popup.yaml,PM_24 - Incoming Call During Permission Popup,Permission,3,1. Camera popup → 2. Interrupt → 3. Return → 4. Allow,Permission flow remains stable
PERM_040,PM_25,PM_25 - Rapid Permission Actions.yaml,PM_25 - Rapid Permission Actions,Permission,1,1. Rapidly tap Allow/Deny on camera popup,No crash or duplicate actions
PERM_026,PM_26,PM_26 - App Kill During Permission Flow.yaml,PM_26 - App Kill During Permission Flow,Permission,3,1. Camera popup → 2. Force close → 3. Reopen → 4. Continue,Permission flow resumes appropriately
PERM_027,PM_28,PM_28 - First Launch After Reinstall.yaml,PM_28 - First Launch After Reinstall,Permission,3,1. Clear app data → 2. Launch app → 3. Complete permission flow,Full onboarding + permission sequence from Camera; MY GALLERY reached
PERM_041,PM_27,PM_27 - Revoke Permission From Settings.yaml,PM_27 - Revoke Permission From Settings,Permission,3,1. Grant all → 2. Revoke in settings → 3. Return,App detects revoked permission correctly
PERM_010,PM_29,PM_29 - Nearby Devices Permission Don't Ask Again.yaml,PM_29 - Nearby Devices Permission Don't Ask Again,Permission,4,1. Nearby popup → 2. Deny → 3. Complete flow → 4. Deny again on re-prompt,Permission Required → OK → Android Settings
PERM_013,PM_30,PM_30 - Notification Permission Don't Ask Again.yaml,PM_30 - Notification Permission Don't Ask Again,Permission,4,1. Notification popup → 2. Deny → 3. Complete flow → 4. Deny again on re-prompt,Permission Required → OK → Android Settings
